Transaction_Date,Transanction_Number,Product_ID,Cash_or_Card,Loyalty_Number,Sales_Before_Discount
"Sat, January 02, 2021",20121001,Bar-Ocean_Mist-1x,1,1004721.0,6.0
"Sat, January 02, 2021",20121001,Liquid-Rose_Garden-0.5L,1,1004721.0,14.1
"Sat, January 02, 2021",20121002,Bar-Citrus_Breeze-4x,2,1009280.0,8.12
"Sat, January 02, 2021",20121002,Liquid-Coconut_Dream-0.5L,2,1009280.0,12.36
"Sat, January 02, 2021",20121003,Bar-Ocean_Mist-4x,1,1009022.0,13.95
"Sat, January 02, 2021",20121004,Bar-Lavender_Fields-4x,2,1007171.0,25.5
"Sat, January 02, 2021",20121004,Liquid-Citrus_Breeze-1L,2,1007171.0,17.76
"Sat, January 02, 2021",20121004,Liquid-Fresh_Rain-1L,2,1007171.0,32.6
"Sat, January 02, 2021",20121005,Bar-Fresh_Rain-1x,2,1007235.0,1.61
"Sat, January 02, 2021",20121005,Bar-Fresh_Rain-1x,2,1007235.0,8.05
"Sat, January 02, 2021",20121006,Liquid-Rose_Garden-1L,1,,35.55
"Sat, January 02, 2021",20121006,Liquid-Rose_Garden-1L,1,,11.85
"Sat, January 02, 2021",20121007,Bar-Lavender_Fields-1x,1,1008939.0,5.31
"Sat, January 02, 2021",20121007,Liquid-Rose_Garden-0.5L,1,1008939.0,28.2
"Sat, January 02, 2021",20121008,Bar-Eucalyptus_Mint-4x,2,1001336.0,24.9
"Sat, January 02, 2021",20121008,Liquid-Coconut_Dream-0.5L,2,1001336.0,8.24
"Sat, January 02, 2021",20121008,Liquid-Ocean_Mist-1L,2,1001336.0,9.18
"Sat, January 02, 2021",20121009,Liquid-Coconut_Dream-0.5L,1,,20.6
"Sat, January 02, 2021",20121009,Liquid-Ocean_Mist-1L,1,,18.36
"Sat, January 02, 2021",20121010,Liquid-Eucalyptus_Mint-0.25L,1,1006849.0,4.5
"Sat, January 02, 2021",20121011,Bar-Rose_Garden-1x,2,1002255.0,7.35
"Sat, January 02, 2021",20121012,Liquid-Lavender_Fields-1L,2,,24.27
"Sat, January 02, 2021",20121013,Bar-Citrus_Breeze-2x,1,1000325.0,8.08
"Sat, January 02, 2021",20121013,Liquid-Coconut_Dream-0.25L,1,1000325.0,2.38
"Sat, January 02, 2021",20121014,Bar-Citrus_Breeze-2x,2,1009923.0,10.1
"Sat, January 02, 2021",20121014,Liquid-Coconut_Dream-0.25L,2,1009923.0,7.14
"Sat, January 02, 2021",20121014,Liquid-Sandalwood_Spice-0.5L,2,1009923.0,47.8
"Sat, January 02, 2021",20121015,Bar-Vanilla_Bean-2x,1,1001677.0,13.72
"Sat, January 02, 2021",20121016,Bar-Ocean_Mist-1x,1,,6.0
"Sat, January 02, 2021",20121016,Bar-Rose_Garden-1x,1,,7.35
"Sat, January 02, 2021",20121017,Bar-Coconut_Dream-4x,2,1004090.0,38.52
"Sat, January 02, 2021",20121017,Liquid-Cedarwood_Forest-0.5L,2,1004090.0,17.56
"Sat, January 02, 2021",20121018,Bar-Coconut_Dream-1x,1,1006477.0,13.7
"Sat, January 02, 2021",20121019,Bar-Eucalyptus_Mint-1x,2,,13.96
"Sat, January 02, 2021",20121019,Liquid-Vanilla_Bean-0.25L,2,,4.61
"Sat, January 02, 2021",20121019,Liquid-Cedarwood_Forest-0.25L,2,,7.8
"Sat, January 02, 2021",20121020,Liquid-Rose_Garden-0.5L,1,,14.1
"Sat, January 02, 2021",20121020,Liquid-Vanilla_Bean-1L,1,,37.5
"Sat, January 02, 2021",20121021,Bar-Citrus_Breeze-1x,1,1003018.0,3.24
"Sat, January 02, 2021",20121021,Liquid-Sandalwood_Spice-1L,1,1003018.0,26.38
"Sat, January 02, 2021",20121022,Bar-Vanilla_Bean-4x,1,1006085.0,88.7
"Sat, January 02, 2021",20121022,Liquid-Ocean_Mist-1L,1,1006085.0,9.18
"Sat, January 02, 2021",20121023,Liquid-Sandalwood_Spice-0.5L,1,1005401.0,47.8
"Sat, January 02, 2021",20121024,Bar-Vanilla_Bean-1x,1,1008318.0,3.64
"Sat, January 02, 2021",20121024,Liquid-Rose_Garden-0.25L,1,1008318.0,9.5
"Sat, January 02, 2021",20121024,Liquid-Cedarwood_Forest-0.5L,1,1008318.0,4.39
"Sat, January 02, 2021",20121025,Liquid-Eucalyptus_Mint-1L,2,1006808.0,66.35
"Sat, January 02, 2021",20121025,Liquid-Coconut_Dream-1L,2,1006808.0,7.5
"Sat, January 02, 2021",20121026,Liquid-Coconut_Dream-1L,1,1000114.0,30.0
"Sat, January 02, 2021",20121027,Bar-Citrus_Breeze-1x,2,1006518.0,0.81
"Sat, January 02, 2021",20121027,Liquid-Rose_Garden-0.25L,2,1006518.0,3.8
"Sat, January 02, 2021",20121027,Liquid-Vanilla_Bean-1L,2,1006518.0,50.0
"Sat, January 02, 2021",20121028,Bar-Fresh_Rain-1x,2,1007095.0,4.83
"Sat, January 02, 2021",20121028,Liquid-Ocean_Mist-0.5L,2,1007095.0,14.55
"Sat, January 02, 2021",20121028,Liquid-Citrus_Breeze-1L,2,1007095.0,23.68
"Sat, January 02, 2021",20121029,Bar-Eucalyptus_Mint-2x,2,,6.23
"Sat, January 02, 2021",20121029,Liquid-Ocean_Mist-1L,2,,13.77
"Sat, January 02, 2021",20121030,Bar-Citrus_Breeze-1x,1,1009373.0,2.43
"Sat, January 02, 2021",20121030,Liquid-Eucalyptus_Mint-0.25L,1,1009373.0,13.5
"Sat, January 02, 2021",20121031,Liquid-Lavender_Fields-0.5L,2,1005933.0,14.85
"Sat, January 02, 2021",20121031,Liquid-Vanilla_Bean-0.5L,2,1005933.0,29.4
"Sat, January 02, 2021",20121032,Bar-Vanilla_Bean-4x,1,,17.74
"Sat, January 02, 2021",20121032,Liquid-Cedarwood_Forest-0.5L,1,,4.39
"Sat, January 02, 2021",20121033,Liquid-Rose_Garden-0.5L,1,,14.1
"Sat, January 02, 2021",20121034,Bar-Fresh_Rain-1x,1,1006513.0,6.44
"Sat, January 02, 2021",20121034,Bar-Eucalyptus_Mint-2x,1,1006513.0,12.46
"Sat, January 02, 2021",20121034,Liquid-Coconut_Dream-1L,1,1006513.0,22.5
"Sat, January 02, 2021",20121035,Liquid-Eucalyptus_Mint-0.25L,2,1005851.0,18.0
"Sat, January 02, 2021",20121036,Bar-Citrus_Breeze-1x,1,,4.05
"Sat, January 02, 2021",20121036,Bar-Citrus_Breeze-4x,1,,12.18
"Sat, January 02, 2021",20121037,Bar-Coconut_Dream-1x,1,1004801.0,8.22
"Sat, January 02, 2021",20121038,Bar-Lavender_Fields-2x,2,1006952.0,2.41
"Sat, January 02, 2021",20121038,Bar-Rose_Garden-2x,2,1006952.0,12.68
"Sat, January 02, 2021",20121039,Liquid-Sandalwood_Spice-1L,2,1009866.0,13.19
"Sat, January 02, 2021",20121040,Bar-Lavender_Fields-1x,1,1002934.0,8.85
"Sat, January 02, 2021",20121040,Bar-Citrus_Breeze-1x,1,1002934.0,3.24
"Sat, January 02, 2021",20121040,Liquid-Citrus_Breeze-0.25L,1,1002934.0,2.92
"Sat, January 02, 2021",20121041,Bar-Eucalyptus_Mint-2x,1,1007232.0,24.92
"Sat, January 02, 2021",20121041,Liquid-Lavender_Fields-0.25L,1,1007232.0,9.2
"Sat, January 02, 2021",20121041,Liquid-Ocean_Mist-0.5L,1,1007232.0,5.82
"Sat, January 02, 2021",20121042,Bar-Citrus_Breeze-1x,1,1008611.0,4.05
"Sat, January 02, 2021",20121042,Liquid-Lavender_Fields-0.25L,1,1008611.0,11.5
"Sat, January 02, 2021",20121043,Bar-Vanilla_Bean-1x,2,,10.92
"Sat, January 02, 2021",20121044,Bar-Rose_Garden-2x,2,,15.85
"Sat, January 02, 2021",20121044,Bar-Fresh_Rain-4x,2,,21.4
"Sat, January 02, 2021",20121045,Bar-Eucalyptus_Mint-1x,2,,3.49
"Sat, January 02, 2021",20121046,Bar-Citrus_Breeze-2x,2,1001425.0,10.1
