Product,Scent,Stock Remaining
Bar Soap,Caramel,6
Bar Soap,Chocolate,16
Bar Soap,Coconut,22
Bar Soap,Heather,9
Bar Soap,Jasmine,4
Bar Soap,Lavender,6
Bar Soap,Lemon,2
Bar Soap,Mint,10
Bar Soap,Raspberry,6
Liquid Soap,Caramel,11
Liquid Soap,Chocolate,35
Liquid Soap,Coconut,20
Liquid Soap,Heather,11
Liquid Soap,Jasmine,19
Liquid Soap,Lavender,16
Liquid Soap,Lemon,16
Liquid Soap,Mint,29
Liquid Soap,Raspberry,7
Razor,N/A,69
Shower Gel,Caramel,14
Shower Gel,Chocolate,8
Shower Gel,Coconut,14
Shower Gel,Heather,6
Shower Gel,Jasmine,4
Shower Gel,Lavender,4
Shower Gel,Lemon,12
Shower Gel,Mint,12
Shower Gel,Raspberry,3
