Store,Scent,Scent % of Store Sales Volumes,Scent % of Store Sales Values
Clapham,Banana,0.09,0.05
Clapham,Carrot,0.08,0.09
Clapham,Chamomile,0.06,0.06
Clapham,Cinnamon,0.11,0.09
Clapham,Coconut,0.13,0.18
Clapham,Frankincense,0.1,0.12
Clapham,Lavendar,0.11,0.1
Clapham,Mango,0.13,0.12
Clapham,Mint,0.1,0.11
Clapham,Watermelon,0.08,0.08
Wimbledon,Banana,0.1,0.13
Wimbledon,Carrot,0.09,0.09
Wimbledon,Chamomile,0.1,0.1
Wimbledon,Cinnamon,0.13,0.14
Wimbledon,Coconut,0.1,0.1
Wimbledon,Frankincense,0.1,0.09
Wimbledon,Lavendar,0.12,0.1
Wimbledon,Mango,0.08,0.1
Wimbledon,Mint,0.09,0.07
Wimbledon,Watermelon,0.09,0.08
