Formation,Oppo Form.,Games Played,Liverpool Goals,Avg Goals Scored,Opposition Goals,Avg Goals Conceded
4-2-3-1,3-5-2,1,1,1.0,0,0.0
4-2-3-1,4-2-3-1,1,2,2.0,0,0.0
4-2-3-1,5-4-1,1,5,5.0,2,2.0
4-3-3,3-4-1-2,3,5,1.6666666666666667,2,0.6666666666666666
4-3-3,3-5-2,3,5,1.6666666666666667,1,0.3333333333333333
4-3-3,4-1-4-1,3,8,2.6666666666666665,2,0.6666666666666666
4-3-3,4-2-3-1,6,13,2.1666666666666665,8,1.3333333333333333
4-3-3,4-3-1-2,1,3,3.0,1,1.0
4-3-3,4-3-3,3,6,2.0,3,1.0
4-3-3,4-4-2,4,11,2.75,0,0.0
4-3-3,4-5-1,1,2,2.0,1,1.0
4-3-3,5-4-1,2,5,2.5,1,0.5
