Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
39.02,44,B,8,Art,93,295
39.02,52,B,8,Art,93,321
39.02,46,B,8,Art,93,465
39.02,42,B,8,Art,93,498
39.02,54,B,8,Art,93,687
39.02,39,B,8,Art,93,735
39.02,54,B,8,Art,93,837
39.02,52,B,8,Art,93,855
39.02,47,B,8,Art,93,857
39.02,41,B,8,Art,93,901
39.02,43,B,8,Art,93,951
39.02,43,B,8,Art,93,975
39.02,40,B,8,Art,93,981
39.02,46,B,8,Art,92,24
39.02,40,B,8,Art,92,45
39.02,46,B,8,Art,92,54
39.02,40,B,8,Art,92,114
39.02,56,B,8,Art,92,203
39.02,51,B,8,Art,92,272
39.02,48,B,8,Art,92,282
39.02,44,B,8,Art,92,341
39.02,51,B,8,Art,92,600
39.02,46,B,8,Art,92,740
39.02,47,B,8,Art,92,766
39.02,48,B,8,Art,92,844
39.02,39,B,8,Art,92,850
39.02,42,B,8,Art,92,890
39.02,42,B,8,Art,92,936
39.02,44,B,8,Art,92,988
39.02,52,B,8,Art,91,23
39.02,43,B,8,Art,91,47
39.02,46,B,8,Art,91,51
39.02,40,B,8,Art,91,432
39.02,48,B,8,Art,91,539
39.02,40,B,8,Art,91,556
39.02,48,B,8,Art,91,581
39.02,45,B,8,Art,91,641
39.02,49,B,8,Art,91,654
39.02,40,B,8,Art,91,744
39.02,43,B,8,Art,91,831
39.02,50,B,8,Art,91,833
39.02,40,B,8,Art,91,849
39.02,47,B,8,Art,91,865
39.02,39,B,8,Art,91,923
39.02,42,B,8,Art,91,955
39.02,49,B,8,Art,91,996
39.02,51,B,8,Art,90,42
39.02,56,B,8,Art,90,65
39.02,51,B,8,Art,90,84
39.02,39,B,8,Art,90,253
39.02,50,B,8,Art,90,298
39.02,41,B,8,Art,90,299
39.02,43,B,8,Art,90,380
39.02,39,B,8,Art,90,395
39.02,46,B,8,Art,90,439
39.02,52,B,8,Art,90,528
39.02,50,B,8,Art,90,578
39.02,48,B,8,Art,90,599
39.02,52,B,8,Art,90,626
39.02,40,B,8,Art,90,745
39.02,58,B,8,Art,90,808
39.02,46,B,8,Art,89,238
39.02,40,B,8,Art,89,305
39.02,39,B,8,Art,89,494
39.02,44,B,8,Art,89,565
39.02,41,B,8,Art,89,694
39.02,39,B,8,Art,89,830
39.02,45,B,8,Art,89,841
39.02,45,B,8,Art,88,55
39.02,41,B,8,Art,88,166
39.02,48,B,8,Art,88,187
39.02,46,B,8,Art,88,266
39.02,39,B,8,Art,88,287
39.02,43,B,8,Art,88,302
39.02,42,B,8,Art,88,353
39.02,45,B,8,Art,88,426
39.02,40,B,8,Art,88,427
39.02,48,B,8,Art,88,466
39.02,43,B,8,Art,88,511
39.02,42,B,8,Art,88,531
39.02,44,B,8,Art,88,602
39.02,39,B,8,Art,88,661
39.02,50,B,8,Art,88,669
39.02,52,B,8,Art,88,914
39.02,40,B,8,Art,88,957
39.02,42,B,8,Art,87,132
39.02,44,B,8,Art,87,218
39.02,40,B,8,Art,87,340
39.02,39,B,8,Art,87,372
36.93,43,C,6,Art,87,434
36.93,40,C,6,Art,87,560
36.93,41,C,6,Art,87,625
36.93,42,C,6,Art,87,643
36.93,42,C,6,Art,87,648
36.93,50,C,6,Art,87,792
36.93,39,C,6,Art,87,861
36.93,40,C,6,Art,87,931
36.93,52,C,6,Art,87,982
36.93,41,C,6,Art,86,49
36.93,41,C,6,Art,86,105
36.93,50,C,6,Art,86,267
