Movie,Year,Pass/Fail,Ranking,Categorisation
!Three Amigos!,1986,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"""Chess in Concert""",2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"""Masters of Horror"" Dream Cruise",2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"""Masters of Horror"" Family",2006,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"""Masters of Horror"" Haeckel's Tale",2006,Fail,5,Fewer than two women in this movie
"""Masters of Horror"" Imprint",2006,Fail,5,Fewer than two women in this movie
"""Masters of Horror"" Pelts",2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"""Masters of Horror"" Pick Me Up",2006,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"""Masters of Horror"" Pro-Life",2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"""Masters of Horror"" Right to Die",2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"""Masters of Horror"" Sounds Like",2006,Fail,5,Fewer than two women in this movie
"""Masters of Horror"" The Black Cat",2007,Fail,5,Fewer than two women in this movie
"""Masters of Horror"" The Screwfly Solution",2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"""Masters of Horror"" The V Word",2006,Fail,5,Fewer than two women in this movie
"""Masters of Horror"" The Washingtonians",2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"""Masters of Horror"" Valerie on the Stairs",2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"""Masters of Horror"" We All Scream for Ice Cream",2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"""The Backyardigans"" International Super Spy",2007,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"""The Good Place"" The Funeral to End All Funerals",2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
#Nofilter,2021,Fail,5,Fewer than two women in this movie
'71,2014,Fail,5,Fewer than two women in this movie
'Gator Bait,1973,Fail,5,Fewer than two women in this movie
'Gator Bait 2: Cajun Justice,1988,Fail,5,Fewer than two women in this movie
