Prime Ministers,Start Date PM,End Date PM,Chelsea Managers,Matches,Matches Won,Matches Drawn,Matches Lost,Win %
Sir Winston Churchill,10/05/1940,26/07/1945,1,0,0,0,0,
Clement Attlee,26/07/1945,26/10/1951,1,251,82,63,106,0.33
Sir Winston Churchill,26/10/1951,05/04/1955,2,170,64,48,58,0.38
Sir Anthony Eden,06/04/1955,09/01/1957,1,80,25,27,28,0.31
Harold Macmillan,10/01/1957,18/10/1963,2,305,116,57,132,0.38
Sir Alec Douglas-Home,19/10/1963,16/10/1964,1,46,27,9,10,0.59
Harold Wilson,16/10/1964,19/06/1970,3,310,153,77,80,0.49
Edward Heath,19/06/1970,04/03/1974,1,205,84,62,59,0.41
Harold Wilson,04/03/1974,05/04/1976,3,100,28,33,39,0.28
James Callaghan,05/04/1976,04/05/1979,3,141,41,42,58,0.29
Margaret Thatcher,04/05/1979,28/11/1990,6,550,225,161,164,0.41
John Major,28/11/1990,02/05/1997,5,330,119,102,109,0.36
Tony Blair,02/05/1997,27/06/2007,4,554,322,126,106,0.58
Gordon Brown,27/06/2007,11/05/2010,5,173,113,40,20,0.65
David Cameron,11/05/2010,13/07/2016,8,344,191,81,72,0.56
Theresa May,13/07/2016,24/07/2019,3,167,108,29,30,0.65
Boris Johnson,24/07/2019,05/09/2022,2,181,102,41,38,0.56
Liz Truss,05/09/2022,25/10/2022,2,10,6,3,1,0.6
Rishi Sunak,25/10/2022,03/11/2022,1,3,2,0,1,0.67
