Cake Needed On Date,Cake Weekday,Count of Cakes
01/04/2025,Tuesday,4
01/05/2025,Thursday,1
01/07/2025,Tuesday,2
01/10/2024,Tuesday,2
02/04/2025,Wednesday,4
02/05/2025,Friday,13
02/06/2025,Monday,1
02/07/2025,Wednesday,2
02/09/2024,Monday,1
02/10/2024,Wednesday,3
02/12/2024,Monday,2
03/02/2025,Monday,3
03/03/2025,Monday,6
03/04/2025,Thursday,2
03/06/2025,Tuesday,1
03/07/2025,Thursday,4
03/09/2024,Tuesday,2
03/10/2024,Thursday,6
03/12/2024,Tuesday,2
04/02/2025,Tuesday,2
04/03/2025,Tuesday,3
04/04/2025,Friday,52
04/06/2025,Wednesday,5
04/07/2025,Friday,12
04/09/2024,Wednesday,5
04/10/2024,Friday,15
04/11/2024,Monday,2
04/12/2024,Wednesday,7
05/02/2025,Wednesday,4
05/03/2025,Wednesday,1
05/05/2025,Monday,3
05/06/2025,Thursday,4
05/09/2024,Thursday,2
05/11/2024,Tuesday,7
05/12/2024,Thursday,3
06/01/2025,Monday,4
06/02/2025,Thursday,2
06/03/2025,Thursday,1
06/05/2025,Tuesday,3
06/06/2025,Friday,8
06/09/2024,Friday,8
06/11/2024,Wednesday,4
06/12/2024,Friday,10
07/01/2025,Tuesday,1
07/02/2025,Friday,8
07/03/2025,Friday,4
07/05/2025,Wednesday,2
07/07/2025,Monday,4
07/11/2024,Thursday,3
08/01/2025,Wednesday,4
08/07/2025,Tuesday,2
08/10/2024,Tuesday,1
08/11/2024,Friday,10
09/01/2025,Thursday,4
09/05/2025,Friday,9
09/06/2025,Monday,2
09/07/2025,Wednesday,3
09/09/2024,Monday,2
09/10/2024,Wednesday,1
09/12/2024,Monday,3
10/01/2025,Friday,10
10/02/2025,Monday,2
10/03/2025,Monday,3
10/06/2025,Tuesday,3
10/07/2025,Thursday,6
10/09/2024,Tuesday,3
10/10/2024,Thursday,3
11/02/2025,Tuesday,1
11/03/2025,Tuesday,3
11/06/2025,Wednesday,1
11/07/2025,Friday,10
11/09/2024,Wednesday,6
11/10/2024,Friday,3
11/11/2024,Monday,5
11/12/2024,Wednesday,2
12/02/2025,Wednesday,3
12/03/2025,Wednesday,4
12/05/2025,Monday,4
12/06/2025,Thursday,2
12/09/2024,Thursday,2
12/11/2024,Tuesday,3
12/12/2024,Thursday,6
13/01/2025,Monday,1
13/02/2025,Thursday,1
13/03/2025,Thursday,3
13/06/2025,Friday,8
13/09/2024,Friday,9
13/12/2024,Friday,6
14/01/2025,Tuesday,4
14/02/2025,Friday,24
14/03/2025,Friday,4
14/05/2025,Wednesday,2
14/07/2025,Monday,1
14/10/2024,Monday,3
14/11/2024,Thursday,3
15/01/2025,Wednesday,2
15/05/2025,Thursday,3
15/07/2025,Tuesday,3
15/10/2024,Tuesday,2
15/11/2024,Friday,8
16/01/2025,Thursday,4
16/05/2025,Friday,4
16/06/2025,Monday,1
16/07/2025,Wednesday,3
16/09/2024,Monday,3
16/10/2024,Wednesday,7
16/12/2024,Monday,1
17/01/2025,Friday,9
17/03/2025,Monday,2
17/06/2025,Tuesday,1
17/07/2025,Thursday,5
17/10/2024,Thursday,2
17/12/2024,Tuesday,3
18/03/2025,Tuesday,4
18/06/2025,Wednesday,2
18/07/2025,Friday,110
18/09/2024,Wednesday,1
18/10/2024,Friday,13
18/11/2024,Monday,2
18/12/2024,Wednesday,4
19/03/2025,Wednesday,3
19/05/2025,Monday,2
19/06/2025,Thursday,2
19/09/2024,Thursday,3
19/11/2024,Tuesday,2
19/12/2024,Thursday,6
20/01/2025,Monday,1
20/03/2025,Thursday,4
20/05/2025,Tuesday,2
20/06/2025,Friday,7
20/09/2024,Friday,6
20/11/2024,Wednesday,6
20/12/2024,Friday,56
21/01/2025,Tuesday,1
21/03/2025,Friday,6
21/05/2025,Wednesday,7
21/07/2025,Monday,3
21/10/2024,Monday,4
21/11/2024,Thursday,4
22/01/2025,Wednesday,2
22/04/2025,Tuesday,3
22/05/2025,Thursday,2
22/07/2025,Tuesday,4
22/11/2024,Friday,10
23/01/2025,Thursday,5
23/04/2025,Wednesday,4
23/05/2025,Friday,18
23/06/2025,Monday,7
23/09/2024,Monday,7
23/10/2024,Wednesday,2
24/01/2025,Friday,9
24/02/2025,Monday,5
24/03/2025,Monday,4
24/04/2025,Thursday,4
24/06/2025,Tuesday,5
24/09/2024,Tuesday,2
24/10/2024,Thursday,2
25/02/2025,Tuesday,2
25/03/2025,Tuesday,1
25/04/2025,Friday,9
25/06/2025,Wednesday,1
25/09/2024,Wednesday,3
25/10/2024,Friday,21
25/11/2024,Monday,3
26/02/2025,Wednesday,1
26/03/2025,Wednesday,1
26/06/2025,Thursday,3
26/11/2024,Tuesday,2
27/02/2025,Thursday,5
27/03/2025,Thursday,3
27/06/2025,Friday,10
27/09/2024,Friday,8
27/11/2024,Wednesday,3
28/02/2025,Friday,10
28/03/2025,Friday,8
28/04/2025,Monday,1
28/11/2024,Thursday,1
29/01/2025,Wednesday,1
29/04/2025,Tuesday,2
29/11/2024,Friday,9
30/01/2025,Thursday,2
30/04/2025,Wednesday,7
30/06/2025,Monday,1
30/09/2024,Monday,1
31/01/2025,Friday,11
31/03/2025,Monday,4
